Feature,Coefficients,p_values
Intercept,1.6261006469881478,
years_in_current_job:3-5,0.06175958030462703,0.024586863971051805
years_in_current_job:6-8,-0.03269903769255302,0.2682291344244562
years_in_current_job:>9,-0.00580868340116288,0.7865972124394673
credit_score:500-650,-0.46570166919440104,2.3857320267589017e-14
credit_score:650-750,-0.06061869219905413,0.09517608312321228
credit_score:750-850,0.9136194591877258,6.064474131840939e-16
credit_score:Missing,-0.41244666176658473,5.661754055905796e-26
months_since_last_delinquent:4-30,0.03561705274453638,0.12712348960702274
months_since_last_delinquent:31-56,0.09515447676449708,0.00041082812604984793
months_since_last_delinquent:>=57,0.10908814728871351,0.0006539510336934532
current_loan_amount:182K-312K,-0.015099319895909997,0.5606715963059594
current_loan_amount:312K-524K,0.06693719237113459,0.017342444200037024
current_loan_amount:>524K,0.7583185436997733,1.6077210015875964e-129
monthly_debt:10001-160000,-0.04735827550733837,0.7782678604089874
monthly_debt:160001-240000,-0.018281683592532075,0.9111055658875153
monthly_debt:>240000,-0.11307605910720182,1.0522738224016778e-06
years_of_credit_history:11-20,-0.08099575443363637,0.007464904466472233
years_of_credit_history:>20,0.06311003026340489,0.002677193336030738
number_of_open_accounts:6-10,-0.03430667264336699,0.19162525111719309
number_of_open_accounts:>10,-0.15796386820913155,2.0628535035814344e-09
number_of_credit_problems:6-10,0.4525344461156274,0.6370768786252425
number_of_credit_problems:>10,-0.2856406249917453,0.9065324206894545
current_credit_balance:115K-215K,-0.1545401328698133,1.8032969384906052e-08
current_credit_balance:215K-370K,-0.2912076914655534,1.5218567772878836e-18
current_credit_balance:>370K,-0.47791818965377775,5.331824592841298e-34
maximum_open_credit:283K-482K,0.1623360897259191,1.3987239741463985e-08
maximum_open_credit:482K-803K,0.33509454115593607,2.2142517930394867e-23
maximum_open_credit:>803K,0.5074684978402885,8.094865673597822e-37
tax_liens:6-10,-0.8106344229116741,0.46312612441283496
tax_liens:>10,0.09658557589433941,0.9776859700389254
bankruptcies:>3,-0.147105419511262,0.7759114194646003
term:Long Term,-0.6805993710355137,4.462991758314654e-227
home_ownership:HaveMortgage,0.2886970658199453,0.3024744477806751
home_ownership:Own Home,-0.14911383819522267,6.772666193864566e-06
home_ownership:Rent,-0.2899371069036363,1.1591333393664087e-47
purpose:Business Loan,-0.4952783246340886,6.16450335631831e-14
purpose:Buy House,-0.028279366985492636,0.7967895585750615
purpose:Buy a Car,0.409468454284343,7.972406547763762e-06
purpose:Educational Expenses,0.26848673101252096,0.364455847346826
purpose:Home Improvements,0.012051502746484984,0.7687628447088972
purpose:Medical Bills,-0.1287472011269768,0.12091742641314715
purpose:Other,0.2727541045831436,7.301400543388699e-07
purpose:Take a Trip,0.11583098271468578,0.4436066817042964
purpose:major_purchase,-0.083613594779156,0.5717711598554824
purpose:moving,-0.28096019809443873,0.20317751726800382
purpose:other,-0.0384599195421302,0.31088469847563527
purpose:renewable_energy,-0.3189416806800916,0.6656431279260476
purpose:small_business,-0.9228058463663806,1.1092916086586873e-10
purpose:vacation,-0.18805674213512494,0.4796846622528348
purpose:wedding,-0.029156457454008182,0.9099701135096073
